State,County,Facility_N,Facility_T,Owner,Latitude,Longitude,Functional
Central Equatoria,Juba,Tijor PHCU,PHCU,MoH,5.25926,31.23755,Functional
Central Equatoria,Juba,Gurulotogu PHCU,PHCU,MoH,5.19838,31.1993,Functional
Central Equatoria,Juba,Mongolla PHCC,PHCC,MoH,5.19657,31.76872,Functional
Central Equatoria,Juba,Buko PHCU,PHCU,MoH,5.180656,31.273385,Functional
Central Equatoria,Juba,Perisa PHCU,PHCU,MoH,5.1768,31.03338,Non Functional
Central Equatoria,Juba,Pirisa PHCU,PHCU,MoH,5.175689,31.033568,Functional
Central Equatoria,Juba,Dari PHCU_Bari,PHCU,MoH,5.16635,31.58655,Non Functional
Central Equatoria,Juba,Gimoro PHCU,PHCU,MoH,5.16604,31.14176,Functional
Central Equatoria,Juba,Jabor  PHCU,PHCU,MoH,5.152212,31.809888,Non functional
Central Equatoria,Juba,Kuse PHCU,PHCU,MoH,5.133449,31.375616,Non functional
Central Equatoria,Juba,Rokon PHCC,PHCC,MoH,5.13037,30.94164,Functional
Central Equatoria,Juba,Gugudu Primary PHCU,PHCU,MoH,5.111373,31.37495,Functional
Central Equatoria,Juba,Tendere PHCU,PHCU,MoH,5.107794,31.615771,Non functional
Central Equatoria,Juba,Ligi PHCU,PHCU,MoH,5.09218,31.30161,Functional
Central Equatoria,Juba,Wuna Torok PHCU,PHCU,MoH,5.080867,31.574374,Non functional
Central Equatoria,Juba,Makaro PHCU,PHCU,MoH,5.07983,31.44986,Functional
Central Equatoria,Juba,Sereng PHCU,PHCU,MoH,5.079561,30.951009,Functional
Central Equatoria,Juba,Merkio PHCU,PHCU,MoH,5.076323,30.998338,Functional
Central Equatoria,Juba,Lumonik PHCU,PHCU,MoH,5.064412,31.533324,Non functional
Central Equatoria,Juba,Walawalang PHCU,PHCU,MoH,5.062528,31.315013,Functional
Central Equatoria,Juba,Darsuk PHCU,PHCU,MoH,5.061662,31.313261,Non functional
Central Equatoria,Juba,Luala PHCU,PHCU,MoH,5.026,31.651,Functional
Central Equatoria,Juba,Magor Kolo PHCU,PHCU,MoH,5.022666,31.100147,Functional
Central Equatoria,Juba,Logo (Tibari) PHCU,PHCU,MoH,5.01774,31.72347,Functional
Central Equatoria,Juba,Sermon PHCU,PHCU,MoH,5.01585,31.113195,Functional
Central Equatoria,Juba,Nyamani PHCU,PHCU,MoH,5.014951,31.55741,Functional
Central Equatoria,Juba,Jokaki PHCU,PHCU,MoH,4.992497,31.867656,Functional
Central Equatoria,Juba,Kwerejik Lurit PHCU,PHCU,MoH,4.991023,31.558382,Non Functional
Central Equatoria,Juba,Yapa PHCU,PHCU,MoH,4.988586,31.608212,Functional
Central Equatoria,Juba,Kabo PHCU,PHCU,MoH,4.982659,31.527645,Non functional
Central Equatoria,Juba,Luri Jebel PHCU,PHCU,MoH,4.978942,31.559067,Functional
Central Equatoria,Juba,Jebel Lokiyoro PHCU,PHCU,MoH,4.971601,31.564939,Non functional
Central Equatoria,Juba,Mobil PHCU,PHCU,MoH,4.95924,31.63414,Non Functional
Central Equatoria,Juba,Kuda HC,PHCC,MoH,4.957377,31.225256,Functional
Central Equatoria,Juba,Toko-Kotulu PHCU,PHCU,MoH,4.948493,30.914018,Functional
Central Equatoria,Juba,Mokido PHCU,PHCU,MoH,4.945719,31.581947,Functional
Central Equatoria,Juba,Lopepe PHCU,PHCU,MoH,4.943293,31.570871,Non functional
Central Equatoria,Juba,Maremo PHCU,PHCU,MoH,4.94139,31.434428,Non functional
Central Equatoria,Juba,Kwerejik Luri PHCU,PHCU,MoH,4.93431,31.587435,Functional
Central Equatoria,Juba,Nyamin PHCU,PHCU,MoH,4.93129,31.3396,Functional
Central Equatoria,Juba,Magor kole PHCU,PHCU,MoH,4.918465,31.420143,Non functional
Central Equatoria,Juba,Nyara PHCU,PHCU,MoH,4.916681,31.249961,Functional
Central Equatoria,Juba,Gondokoro PHCU,PHCU,MoH,4.912811,31.65339,Non functional
Central Equatoria,Juba,Belpham Medical Hq,PHCC,MoH,4.911947,31.598795,Functional
Central Equatoria,Juba,Gondokoro Main Land PHCU,PHCU,MoH,4.907979,31.662782,Non functional
Central Equatoria,Juba,Bilingi PHCU,PHCU,MoH,4.90331,31.37985,Non Functional
Central Equatoria,Juba,Tombur PHCU,PHCU,MoH,4.903074,31.546231,Functional
Central Equatoria,Juba,Luri Rokwe PHCU,PHCU,MoH,4.89822,31.59559,Functional
Central Equatoria,Juba,New Site Clinic PHCC,PHCC,MoH,4.897349,31.589256,Functional
Central Equatoria,Juba,Katigiri PHCC,PHCC,MoH,4.89349,30.83171,Functional
Central Equatoria,Juba,Kera PHCC,PHCC,MoH,4.89303,30.83391,Functional
Central Equatoria,Juba,Mugiri PHCC,PHCC,MoH,4.88839,31.85532,Functional
Central Equatoria,Juba,Luri Somba  PHCU,PHCU,MoH,4.88728,31.40317,Functional
